basename	occurrences	raw_variants	normalized_variants	digit_fold_groups
workshop.bbs	95	10	10	6
ceos.ad	56	7	6	4
pcm.805	2122	9	9	9
pcm.nfo	1015	7	6	6
pcmicro.bbs	266	4	4	4
archives.bbs	710	11	10	10
out.ad	36	15	15	15
tcs_ad.txt	26	5	5	3
