origin	raw_sha256	normalized_sha256	basename	encoding	classification	markers
/home/mkrueger/work/bbs/bbsarchives/UG-RA-Others/jesnb100.zip![5]:PCM.805	325dccb7a078d40293f736e3be2d98dd054453762f939e9d25cf271233e530a6	e9ae62a2b387d61a0d2d339134f2941b9ac284e419844b9b63128e648fda2b7c	pcm.805	cp437-inferred	candidate-other	pacific-coast-micro
/home/mkrueger/work/bbs/bbsarchives/UG-RA-Others/jesprv12.zip![6]:PCM.805	802edc2ac3263bc29b3fd6b83b81d50d8d25f6fb9e16495ea5f08ff376b672bc	d94e062fa575bea31532fb513180ec1b7a19f1d654c749a07cc4d1443664d10b	pcm.805	cp437-inferred	candidate-other	pacific-coast-micro
/home/mkrueger/work/bbs/bbsarchives/UG-RA-Others/jestype.zip![4]:PCM.805	802edc2ac3263bc29b3fd6b83b81d50d8d25f6fb9e16495ea5f08ff376b672bc	d94e062fa575bea31532fb513180ec1b7a19f1d654c749a07cc4d1443664d10b	pcm.805	cp437-inferred	candidate-other	pacific-coast-micro
/home/mkrueger/work/bbs/bbsarchives/UG-RA-Others/jesvt121.zip![6]:1	cd07e38fe4c925c470a1c33c41d230c7085d20392a1f60a2c110f0c42121826d	ffac4893a08efb68f798dc96c5247f81fdaf44700e6d3b7e73c51a519addf749	1	cp437-inferred	candidate-other	pacific-coast-micro
/home/mkrueger/work/bbs/bbsarchives/UG-RA-Others/jeswt130.zip![5]:PCM.805	802edc2ac3263bc29b3fd6b83b81d50d8d25f6fb9e16495ea5f08ff376b672bc	d94e062fa575bea31532fb513180ec1b7a19f1d654c749a07cc4d1443664d10b	pcm.805	cp437-inferred	candidate-other	pacific-coast-micro
/home/mkrueger/work/bbs/bbsarchives/UG-RA-Others/jeswt150.zip![6]:BITETHE.BIG	cd07e38fe4c925c470a1c33c41d230c7085d20392a1f60a2c110f0c42121826d	ffac4893a08efb68f798dc96c5247f81fdaf44700e6d3b7e73c51a519addf749	bitethe.big	cp437-inferred	candidate-other	pacific-coast-micro
/home/mkrueger/work/bbs/bbsarchives/UG-RA-Others/jng_2dcall.zip![7]:SMOKE.POT	cd07e38fe4c925c470a1c33c41d230c7085d20392a1f60a2c110f0c42121826d	ffac4893a08efb68f798dc96c5247f81fdaf44700e6d3b7e73c51a519addf749	smoke.pot	cp437-inferred	candidate-other	pacific-coast-micro
/home/mkrueger/work/bbs/bbsarchives/UG-RA-Others/k_cas100.zip![5]:YOUGOTIT.NOW	cd07e38fe4c925c470a1c33c41d230c7085d20392a1f60a2c110f0c42121826d	ffac4893a08efb68f798dc96c5247f81fdaf44700e6d3b7e73c51a519addf749	yougotit.now	cp437-inferred	candidate-other	pacific-coast-micro
/home/mkrueger/work/bbs/bbsarchives/UG-RA-Others/kh_2dv_2dsec.zip![8]:PCMICRO.NFO	51af4b6ad1e2561ec7cb44d27a4b23e89904cf31f29096598d6a85770905fa0e	c2bdad322b0fa683eb255b54223391063ccfd76ad3f5f3431220d2b22b8383de	pcmicro.nfo	cp437-inferred	doc-like	pacific-coast-micro
/home/mkrueger/work/bbs/bbsarchives/UG-RA-Others/khl_2dbet.zip![10]:PCMICRO.BBS	99b85068035b8ec1ff5cd9b9977137ce7ea8116676a079778ecea3dfe43b9342	fc38363f2722797b381a39e495b592beb19df057be99632ec875cab83fc901a8	pcmicro.bbs	cp437-inferred	candidate-other	pacific-coast-micro
/home/mkrueger/work/bbs/bbsarchives/UG-RA-Others/khl_2dcall.zip![9]:PCMICRO.BBS	99b85068035b8ec1ff5cd9b9977137ce7ea8116676a079778ecea3dfe43b9342	fc38363f2722797b381a39e495b592beb19df057be99632ec875cab83fc901a8	pcmicro.bbs	cp437-inferred	candidate-other	pacific-coast-micro
/home/mkrueger/work/bbs/bbsarchives/UG-RA-Others/khl_2dd101.zip![5]:PCMICRO.BBS	99b85068035b8ec1ff5cd9b9977137ce7ea8116676a079778ecea3dfe43b9342	fc38363f2722797b381a39e495b592beb19df057be99632ec875cab83fc901a8	pcmicro.bbs	cp437-inferred	candidate-other	pacific-coast-micro
/home/mkrueger/work/bbs/bbsarchives/UG-RA-Others/khl_2dl006.zip![8]:PCMICRO.BBS	99b85068035b8ec1ff5cd9b9977137ce7ea8116676a079778ecea3dfe43b9342	fc38363f2722797b381a39e495b592beb19df057be99632ec875cab83fc901a8	pcmicro.bbs	cp437-inferred	candidate-other	pacific-coast-micro
/home/mkrueger/work/bbs/bbsarchives/UG-RA-Others/khl_2ds144.zip![7]:PCMICRO.BBS	99b85068035b8ec1ff5cd9b9977137ce7ea8116676a079778ecea3dfe43b9342	fc38363f2722797b381a39e495b592beb19df057be99632ec875cab83fc901a8	pcmicro.bbs	cp437-inferred	candidate-other	pacific-coast-micro
/home/mkrueger/work/bbs/bbsarchives/UG-RA-Others/khl_2dsk14.zip![8]:PCMICRO.NFO	51af4b6ad1e2561ec7cb44d27a4b23e89904cf31f29096598d6a85770905fa0e	c2bdad322b0fa683eb255b54223391063ccfd76ad3f5f3431220d2b22b8383de	pcmicro.nfo	cp437-inferred	doc-like	pacific-coast-micro
/home/mkrueger/work/bbs/bbsarchives/UG-RA-Others/khl_2dtod.zip![4]:PCMICRO.BBS	99b85068035b8ec1ff5cd9b9977137ce7ea8116676a079778ecea3dfe43b9342	fc38363f2722797b381a39e495b592beb19df057be99632ec875cab83fc901a8	pcmicro.bbs	cp437-inferred	candidate-other	pacific-coast-micro
/home/mkrueger/work/bbs/bbsarchives/UG-RA-Others/lamer_2797.zip![12]:PCMICRO.NFO	51af4b6ad1e2561ec7cb44d27a4b23e89904cf31f29096598d6a85770905fa0e	c2bdad322b0fa683eb255b54223391063ccfd76ad3f5f3431220d2b22b8383de	pcmicro.nfo	cp437-inferred	doc-like	pacific-coast-micro
/home/mkrueger/work/bbs/bbsarchives/UG-RA-Others/lamochec.zip![6]:SMOKEOR.DIE	cd07e38fe4c925c470a1c33c41d230c7085d20392a1f60a2c110f0c42121826d	ffac4893a08efb68f798dc96c5247f81fdaf44700e6d3b7e73c51a519addf749	smokeor.die	cp437-inferred	candidate-other	pacific-coast-micro
/home/mkrueger/work/bbs/bbsarchives/UG-RA-Others/lastcall.zip![7]:PCM.NFO	cd07e38fe4c925c470a1c33c41d230c7085d20392a1f60a2c110f0c42121826d	ffac4893a08efb68f798dc96c5247f81fdaf44700e6d3b7e73c51a519addf749	pcm.nfo	cp437-inferred	doc-like	pacific-coast-micro
/home/mkrueger/work/bbs/bbsarchives/UG-RA-Others/ldsn0w.zip![3]:INHAIL.NOT	cd07e38fe4c925c470a1c33c41d230c7085d20392a1f60a2c110f0c42121826d	ffac4893a08efb68f798dc96c5247f81fdaf44700e6d3b7e73c51a519addf749	inhail.not	cp437-inferred	candidate-other	pacific-coast-micro
/home/mkrueger/work/bbs/bbsarchives/UG-RA-Others/lgsn0w.zip![4]:RULES.RA	cd07e38fe4c925c470a1c33c41d230c7085d20392a1f60a2c110f0c42121826d	ffac4893a08efb68f798dc96c5247f81fdaf44700e6d3b7e73c51a519addf749	rules.ra	cp437-inferred	candidate-other	pacific-coast-micro
/home/mkrueger/work/bbs/bbsarchives/UG-RA-Others/lk_2dprmpt.zip![12]:PCM.805	5805b019fddfa7d4f63486cee43ae4f1a8a2556fa73a65f2cb0b326c24494a0b	eca78c2652febf2591e5d207174673904309fd016abfa09a29c31479d62752fa	pcm.805	cp437-inferred	candidate-other	pacific-coast-micro
