sha256	size	selection	origin (escaped)
4e82115e8075f29f8e326679250d9934e006c4b3505fae475d75f47e419f3c1b	2231	member-rule	bac-v10/amiga_charset/arkon.txt
47b384b7a18b64118b4cc374e40debac637f8591c0e224a7e2ff1f25a3d6ca81	976	member-rule	bac-v10/amiga_charset/arrested_development.txt
5baaa8fb4907c01fb2e214b2ea56bf66075923685cc00936c32b516e7563da17	1721	member-rule	bac-v10/amiga_charset/artificial_dope.txt
bc0916140009a35b484e7b02c5868f4501553c8805571e083fcc080101d2344a	1438	member-rule	bac-v10/amiga_charset/asylum_(FI).txt
1343c47b5a851e646fe979e361de658ef2a0e0fdd091a9835868ab02b5f51665	1062	member-rule	bac-v10/amiga_charset/asylum_(IT).txt
198c3e36ff3b2717697d818d93a52189c8763e08a5e66ef93cab61a57198d52c	1596	member-rule	bac-v10/amiga_charset/asylum_(IT)2.txt
8b1fa86ea7f8a49978f3dde0b430c209486d0114b2c936df29625d78dca5ed1f	931	member-rule	bac-v10/amiga_charset/atlantic.txt
8b569d49338119763682ffad54e558d77bfc8a8e7f66772c4a5bed320bd5e502	2085	member-rule	bac-v10/amiga_charset/atlantic2.txt
0eaa376705fef4d9ccf4a4cd98b04d8a2628d78500804cf798c6c16f86d7d7a9	942	member-rule	bac-v10/amiga_charset/atlantis_(CA).txt
95927a7c888f6fe9ba778b6caae527e001495ae5882a8898d09c3d916ca2bada	910	member-rule	bac-v10/amiga_charset/atlantis_(CA)2.txt
0b4231e5ec25f686d352befe57b89edcd0b72441f87b43c0782667deaaf48961	746	member-rule	bac-v10/amiga_charset/atlantis_(FI).txt
86918c4aaf031339519aefe0fef8bceb8412829229c0053277c434ce2bc0e2d7	2434	member-rule	bac-v10/amiga_charset/atlantis_power.txt
31cf9d496d91e3a61c18e18ca383e66f6cafee57cc76fc7af9917a40051c7203	1366	member-rule	bac-v10/amiga_charset/aurora_borealis.txt
508dfa2ee46acf7ce02b80aec767410a71d84beddb156d50905fb15e22823435	873	member-rule	bac-v10/amiga_charset/ausgebombt.txt
e7bdea93f18d5f3a9434e4c1dc3a771287c687c1dbaaa78f7549af029f9fb169	1608	member-rule	bac-v10/amiga_charset/back_fire.txt
072263dceb844d926f8d07ca23ec338680c39087dee9db84b2accb8e04b9114e	1043	member-rule	bac-v10/amiga_charset/badlands_(GER).txt
84614f385c972e33e233cd5b350ef356f85e29635891b784f1c555686f1aebc7	2528	member-rule	bac-v10/amiga_charset/badlands_(US).txt
aaa215221176f31948da069ab441c30f6996c0210d220638c7850e75da9e770c	2168	member-rule	bac-v10/amiga_charset/bagdad_cafe.txt
990c5a4dd3ba908eddcbd9a1299598df6a833a56166f72ccc27bee0bcc3b4875	1241	member-rule	bac-v10/amiga_charset/bagdad_cafe2.txt
a10c878e6a68abc0afe0efa69dd1b9c89bfbfd8ecdadb6c216b55f81c58b9f0b	1207	member-rule	bac-v10/amiga_charset/baldricks_underwear.txt
3c219f6f87b426b686034acb4cd83e92ba62b889160ce79f8f0a348792a0adc4	1804	member-rule	bac-v10/amiga_charset/battlefield.txt
0a273c71edb3268b0ffdf8737fdc73194dedb9a1cec68aaa0e1af9e6d98814d4	1796	member-rule	bac-v10/amiga_charset/beavis_and_butthead_experience.txt
acbae9db5b054fcde1e9d2a82bfbaa079888271523513346173b672ebb1e2f8c	1304	member-rule	bac-v10/amiga_charset/behind_the_cementry.txt
eab7d14bbbe922d9b07f3638e7fa781c13847c4ef33c6b0cc0ba8a9bdc50a72e	1628	member-rule	bac-v10/amiga_charset/benediction.txt
