origin	sha256	rule	action	first_line	last_line
PCBoard-PPE-s-P-R/ror_2dmail.zip::FILE_ID.DIZ	861c72032fbde130cd2945e43e1a62b2e847313dc54afc0fb9c358b33f691caf	fate95-courier	AutoClean	10	10
PCBoard-PPE-s-P-R/ror_2dslam.zip::FILE_ID.DIZ	1feb816b433993284e6f4dd88cc86909755d21267bc4fe609e54c54e949a55e0	fate95-courier-slash	AutoClean	11	11
PCBoard-PPE-s-S-Z/spell111.zip::FILE_ID.DIZ	8dff7e185edf0be7153c779a149b6205aa4618d07e2fffc39e266d92082f21f6	wild-thing-transit-box	AutoClean	11	13
PCBoard-PPE-s-S-Z/wkd_2dlam1.zip::FILE_ID.DIZ	f0f32ddab4f6edde63be9b633031f80f8ae6178c56c7c5e07c8ad14f0f5e7640	disembodied-lands-promotion	ReportOnly	13	14
PCBoard-PPE-s-by-PWA/art1bpwa.zip::FILE_ID.DIZ	d9cc0b0fb4dbe6d1386103bccf4b7a3e340c140eea94237cefef03f1030556c6	white-sands-transit	AutoClean	12	14
PCBoard-PPE-s-by-PWA/ciafonlr.zip::FILE_ID.DIZ	d7d18253fb595f077b58ae41cde791fa297b70ad358525dd05808afb057214b2	spaezm-couriers	AutoClean	12	12
PCBoard-PPE-s-by-PWA/infopwa.zip::FILE_ID.DIZ	7fdfaec6608dd17147c390ff319a4a26098ab782103bbb6afa4a1eada487dd97	scimitar-spreader	AutoClean	12	12
PCBoard-PPE-s-by-PWA/lur98pwa.zip::FILE_ID.DIZ	1e8b2a73c145040da5141e8bba70ad8e3daa28d6fcf83ea202de0864f5286dd3	blood-pool-transit	AutoClean	15	15
PCBoard-PPE-s-by-PWA/lur98pwa.zip::FILE_ID.DIZ	1e8b2a73c145040da5141e8bba70ad8e3daa28d6fcf83ea202de0864f5286dd3	white-sands-transit	AutoClean	12	14
PCBoard-PPE-s-by-PWA/p2pcbpwa.zip::FILE_ID.DIZ	c12817449d9bdc8c15a652df98ac4a60cd29e7d4b02c058affd592684bd1b0fc	critical-strike-transit	AutoClean	12	17
PCBoard-PPE-s-by-PWA/pwa_2daa1.zip::FILE_ID.DIZ	5e7fbcfeff050b9ae29f296820e9b0885dbf2ec5cfc7670882f48bf4391385b2	scimitar-spreader	AutoClean	12	12
PCBoard-PPE-s-by-PWA/pwa_2dlog1.zip::FILE_ID.DIZ	f28a1fbad0dda54150896b62a12a58748286cb8be9b72e5a9510b26e811ab8c9	scimitar-spreader	AutoClean	12	12
PCBoard-PPE-s-by-PWA/pwa_aa1.zip::FILE_ID.DIZ	5e7fbcfeff050b9ae29f296820e9b0885dbf2ec5cfc7670882f48bf4391385b2	scimitar-spreader	AutoClean	12	12
PCBoard-PPE-s-by-PWA/pwa_log1.zip::FILE_ID.DIZ	f28a1fbad0dda54150896b62a12a58748286cb8be9b72e5a9510b26e811ab8c9	scimitar-spreader	AutoClean	12	12
PCBoard-Utils/pfed_104.zip::FILE_ID.DIZ	6f0597a40272380e4f8e64d856b914a8d060480602179508d903d5507ba9f6e7	wild-thing-euro-connection	AutoClean	15	16
PCboard-PPE-s-A-C/2_2ddownx.zip::FILE_ID.DIZ	78ae4a0057da9e9aee2fe294416dd291d8f7d2e577b575491aab2d6988906a79	unknown-realm-transit	AutoClean	7	8
